Movie Title,Release Year,Movie Duration,MPA Rating,Audience Rating,Audience Votes,Metascore,Movie Description,Tokens
 Saturday Night,2024,109,R,7.4,4000.0,63,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).","['at', '1130pm', 'on', 'october', '11th', '1975', 'a', 'ferocious', 'troupe', 'of', 'young', 'comedians', 'and', 'writers', 'changed', 'television', 'forever', 'find', 'out', 'what', 'happened', 'behind', 'the', 'scenes', 'in', '90', 'minutes', 'leading', 'up', 'to', 'first', 'broadcast', 'saturday', 'night', 'live']"
 Beetlejuice,1988,92,PG,7.5,381000.0,71,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.","['the', 'spirits', 'of', 'a', 'deceased', 'couple', 'are', 'harassed', 'by', 'an', 'unbearable', 'family', 'that', 'has', 'moved', 'into', 'their', 'home', 'and', 'hire', 'malicious', 'spirit', 'to', 'drive', 'them', 'out']"
 Terrifier,2016,85,Unrated,5.6,64000.0,0,A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.,"['a', 'maniac', 'named', 'art', 'the', 'clown', 'terrorizes', 'two', 'friends', 'on', 'halloween', 'and', 'everyone', 'who', 'gets', 'in', 'his', 'way']"
 Terrifier 2,2022,138,Not Rated,6.1,56000.0,59,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.","['after', 'being', 'resurrected', 'by', 'a', 'sinister', 'entity', 'art', 'the', 'clown', 'returns', 'to', 'timid', 'town', 'of', 'miles', 'county', 'where', 'he', 'targets', 'teenage', 'girl', 'and', 'her', 'younger', 'brother', 'on', 'halloween', 'night']"
 Hellboy: The Crooked Man,2024,99,R,4.5,5800.0,45,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man.","['hellboy', 'and', 'a', 'rookie', 'bprd', 'agent', 'in', 'the', '1950s', 'are', 'sent', 'to', 'appalachians', 'where', 'they', 'discover', 'remote', 'community', 'dominated', 'by', 'witches', 'led', 'sinister', 'local', 'demon', 'crooked', 'man']"
 Daddio,2023,100,R,6.6,6900.0,62,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.,"['a', 'woman', 'taking', 'cab', 'ride', 'from', 'jfk', 'engages', 'in', 'conversation', 'with', 'the', 'taxi', 'driver', 'about', 'important', 'relationships', 'their', 'lives']"
 The Platform,2019,94,TV-MA,7.0,291000.0,73,"In a prison where inmates are fed on a descending platform, those on the upper levels take more than their fair share while those below are left to starve on scraps and one man decides to change the system.","['in', 'a', 'prison', 'where', 'inmates', 'are', 'fed', 'on', 'descending', 'platform', 'those', 'the', 'upper', 'levels', 'take', 'more', 'than', 'their', 'fair', 'share', 'while', 'below', 'left', 'to', 'starve', 'scraps', 'and', 'one', 'man', 'decides', 'change', 'system']"
 The Apprentice,2024,122,R,7.1,5100.0,64,The story of how a young Donald Trump started his real-estate business in 1970s and '80s New York with the helping hand of infamous lawyer Roy Cohn.,"['the', 'story', 'of', 'how', 'a', 'young', 'donald', 'trump', 'started', 'his', 'realestate', 'business', 'in', '1970s', 'and', '80s', 'new', 'york', 'with', 'helping', 'hand', 'infamous', 'lawyer', 'roy', 'cohn']"
 Caddo Lake,2024,99,PG-13,6.9,10000.0,55,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.","['when', 'an', '8yearold', 'girl', 'disappears', 'on', 'caddo', 'lake', 'a', 'series', 'of', 'past', 'deaths', 'and', 'disappearances', 'begin', 'to', 'link', 'together', 'altering', 'broken', 'familys', 'history']"
 Strange Darling,2023,97,R,7.2,19000.0,80,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.,"['nothing', 'is', 'what', 'it', 'seems', 'when', 'a', 'twisted', 'onenight', 'stand', 'spirals', 'into', 'serial', 'killers', 'vicious', 'murder', 'spree']"
 Inside Out 2,2024,96,PG,7.6,161000.0,73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.","['a', 'sequel', 'that', 'features', 'riley', 'entering', 'puberty', 'and', 'experiencing', 'brand', 'new', 'more', 'complex', 'emotions', 'as', 'result', 'tries', 'to', 'adapt', 'her', 'teenage', 'years', 'old', 'try', 'the', 'possibility', 'of', 'being', 'replaced']"
 Blink Twice,2024,102,R,6.5,45000.0,66,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.","['when', 'tech', 'billionaire', 'slater', 'king', 'meets', 'cocktail', 'waitress', 'frida', 'at', 'his', 'fundraising', 'gala', 'he', 'invites', 'her', 'to', 'join', 'him', 'and', 'friends', 'on', 'a', 'dream', 'vacation', 'private', 'island', 'as', 'strange', 'things', 'start', 'happen', 'questions', 'reality']"
