MOVIE_TITLE,MOVIE_YEAR,MOVIE_DURATION,MOVIE_RATING,USER_RATING,NUM_VOTES,DESCRIPTION,TOKENS
 Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7,1400000.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","['after', 'the', 'empire', 'overpowers', 'rebel', 'alliance', 'luke', 'skywalker', 'begins', 'his', 'jedi', 'training', 'with', 'yoda', 'at', 'same', 'time', 'darth', 'vader', 'and', 'bounty', 'hunter', 'boba', 'fett', 'pursue', 'friends', 'across', 'galaxy']"
 The Matrix,1999,136,R,8.7,2100000.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","['when', 'a', 'beautiful', 'stranger', 'leads', 'computer', 'hacker', 'neo', 'to', 'forbidding', 'underworld', 'he', 'discovers', 'the', 'shocking', 'truththe', 'life', 'knows', 'is', 'elaborate', 'deception', 'of', 'an', 'evil', 'cyberintelligence']"
 Goodfellas,1990,145,R,8.7,1300000.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","['the', 'story', 'of', 'henry', 'hill', 'and', 'his', 'life', 'in', 'mafia', 'covering', 'relationship', 'with', 'wife', 'karen', 'mob', 'partners', 'jimmy', 'conway', 'tommy', 'devito']"
 One Flew Over the Cuckoo's Nest,1975,133,R,8.7,1100000.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","['in', 'the', 'fall', 'of', '1963', 'a', 'korean', 'war', 'veteran', 'and', 'criminal', 'pleads', 'insanity', 'is', 'admitted', 'to', 'mental', 'institution', 'where', 'he', 'rallies', 'up', 'scared', 'patients', 'against', 'tyrannical', 'nurse']"
 Interstellar,2014,169,PG-13,8.7,2200000.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","['when', 'earth', 'becomes', 'uninhabitable', 'in', 'the', 'future', 'a', 'farmer', 'and', 'exnasa', 'pilot', 'joseph', 'cooper', 'is', 'tasked', 'to', 'spacecraft', 'along', 'with', 'team', 'of', 'researchers', 'find', 'new', 'planet', 'for', 'humans']"
 Se7en,1995,127,R,8.6,1800000.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","['two', 'detectives', 'a', 'rookie', 'and', 'veteran', 'hunt', 'serial', 'killer', 'who', 'uses', 'the', 'seven', 'deadly', 'sins', 'as', 'his', 'motives']"
 It's a Wonderful Life,1946,130,PG,8.6,508000.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"['an', 'angel', 'is', 'sent', 'from', 'heaven', 'to', 'help', 'a', 'desperately', 'frustrated', 'businessman', 'by', 'showing', 'him', 'what', 'life', 'would', 'have', 'been', 'like', 'if', 'he', 'had', 'never', 'existed']"
 Seven Samurai,1954,207,Not Rated,8.6,374000.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","['farmers', 'from', 'a', 'village', 'exploited', 'by', 'bandits', 'hire', 'veteran', 'samurai', 'for', 'protection', 'who', 'gathers', 'six', 'other', 'to', 'join', 'him']"
 The Silence of the Lambs,1991,118,R,8.6,1600000.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['a', 'young', 'fbi', 'cadet', 'must', 'receive', 'the', 'help', 'of', 'an', 'incarcerated', 'and', 'manipulative', 'cannibal', 'killer', 'to', 'catch', 'another', 'serial', 'madman', 'who', 'skins', 'his', 'victims']"
 Saving Private Ryan,1998,169,R,8.6,1500000.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","['following', 'the', 'normandy', 'landings', 'a', 'group', 'of', 'us', 'soldiers', 'go', 'behind', 'enemy', 'lines', 'to', 'retrieve', 'paratrooper', 'whose', 'brothers', 'have', 'been', 'killed', 'in', 'action']"
 City of God,2002,130,R,8.6,816000.0,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin.","['in', 'the', 'slums', 'of', 'rio', 'two', 'kids&apos', 'paths', 'diverge', 'as', 'one', 'struggles', 'to', 'become', 'a', 'photographer', 'and', 'other', 'kingpin']"
